dt,AverageTemperature
3/1/1911,24.894
4/1/1911,26.739
5/1/1911,29.136
6/1/1911,27.872
7/1/1911,27.35
8/1/1911,26.314
9/1/1911,27.017
10/1/1911,28.521
11/1/1911,28.071
12/1/1911,26.735
1/1/1912,24.811
2/1/1912,24.682
3/1/1912,25.594
4/1/1912,28.158
5/1/1912,29.442
6/1/1912,29.154
7/1/1912,27.327
8/1/1912,26.706
9/1/1912,27.4
10/1/1912,28.129
11/1/1912,26.912
12/1/1912,25.169
1/1/1913,23.796
2/1/1913,24.429
3/1/1913,24.63
4/1/1913,27.599
5/1/1913,29.096
6/1/1913,27.666
7/1/1913,26.823
8/1/1913,26.727
9/1/1913,27.021
10/1/1913,28.118
11/1/1913,27.093
12/1/1913,25.443
1/1/1914,24.463
2/1/1914,23.996
3/1/1914,24.6
4/1/1914,26.675
5/1/1914,29.511
6/1/1914,28.477
7/1/1914,26.867
8/1/1914,26.524
9/1/1914,27.09
10/1/1914,28.48
11/1/1914,28.253
12/1/1914,25.606
1/1/1915,24.266
2/1/1915,23.513
3/1/1915,25.412
4/1/1915,27.498
5/1/1915,29.38
6/1/1915,29.127
7/1/1915,27.725
8/1/1915,26.946
9/1/1915,27.002
10/1/1915,27.722
11/1/1915,28.063
12/1/1915,24.826
1/1/1916,24.539
2/1/1916,23.23
3/1/1916,26.499
4/1/1916,27.522
5/1/1916,29.031
6/1/1916,27.622
7/1/1916,27.506
8/1/1916,26.741
9/1/1916,26.991
10/1/1916,27.66
11/1/1916,27.143
12/1/1916,24.759
1/1/1917,24.3
2/1/1917,24.079
3/1/1917,25.153
4/1/1917,26.672
5/1/1917,27.705
6/1/1917,27.44
7/1/1917,27.322
8/1/1917,26.657
9/1/1917,26.577
10/1/1917,26.895
11/1/1917,25.987
12/1/1917,24.511
1/1/1918,23.696
2/1/1918,24.054
3/1/1918,25.808
4/1/1918,26.403
5/1/1918,28.08
6/1/1918,27.822
7/1/1918,28.055
8/1/1918,27.186
9/1/1918,27.209
10/1/1918,28.527
11/1/1918,28.484
12/1/1918,25.645
1/1/1919,24.547
2/1/1919,24.07
3/1/1919,25.399
4/1/1919,27.022
5/1/1919,29.104
6/1/1919,27.988
7/1/1919,27.125
8/1/1919,26.612
9/1/1919,27.213
10/1/1919,28.003
11/1/1919,28.058
12/1/1919,25.182
1/1/1920,25.36
2/1/1920,24.056
3/1/1920,26.045
4/1/1920,27.253
5/1/1920,28.723
6/1/1920,28.182
7/1/1920,26.873
8/1/1920,26.758
9/1/1920,27.483
10/1/1920,28.633
11/1/1920,28.006
12/1/1920,25.336
1/1/1921,24.529
2/1/1921,23.956
3/1/1921,26.418
4/1/1921,28.082
5/1/1921,29.27
6/1/1921,28.418
7/1/1921,27.12
8/1/1921,26.469
9/1/1921,26.579
10/1/1921,28.05
11/1/1921,26.79
12/1/1921,25.644
1/1/1922,24.384
2/1/1922,24.632
3/1/1922,25.801
4/1/1922,27.837
5/1/1922,29.012
6/1/1922,28.01
7/1/1922,26.546
8/1/1922,26.309
9/1/1922,26.579
10/1/1922,27.999
11/1/1922,27.354
12/1/1922,24.611
1/1/1923,24.454
2/1/1923,23.175
3/1/1923,25.998
4/1/1923,27.123
5/1/1923,28.416
6/1/1923,29.155
7/1/1923,26.569
8/1/1923,26.594
9/1/1923,26.818
10/1/1923,27.785
11/1/1923,26.63
12/1/1923,25.971
1/1/1924,24.417
2/1/1924,24.165
3/1/1924,27.017
4/1/1924,28.133
5/1/1924,29.467
6/1/1924,28.778
7/1/1924,27.521
8/1/1924,27.114
9/1/1924,26.891
10/1/1924,26.848
11/1/1924,26.326
12/1/1924,25.486
1/1/1925,22.915
2/1/1925,22.731
3/1/1925,26.198
4/1/1925,28.408
5/1/1925,29.006
6/1/1925,27.493
7/1/1925,27.002
8/1/1925,26.794
9/1/1925,27.291
10/1/1925,28.82
11/1/1925,28.481
12/1/1925,25.958
1/1/1926,24.93
2/1/1926,25.286
3/1/1926,25.843
4/1/1926,26.215
5/1/1926,28.792
6/1/1926,29.51
7/1/1926,27.711
8/1/1926,26.848
9/1/1926,26.99
10/1/1926,27.97
11/1/1926,26.903
12/1/1926,25.215
1/1/1927,23.904
2/1/1927,23.887
3/1/1927,25.57
4/1/1927,27.278
5/1/1927,28.765
6/1/1927,27.998
7/1/1927,26.755
8/1/1927,26.552
9/1/1927,27.319
10/1/1927,27.898
11/1/1927,26.011
12/1/1927,25.485
1/1/1928,24.742
2/1/1928,23.791
3/1/1928,25.934
4/1/1928,27.707
5/1/1928,29.129
6/1/1928,28.262
7/1/1928,26.904
8/1/1928,26.619
9/1/1928,26.383
10/1/1928,27.801
11/1/1928,27.673
12/1/1928,25.51
1/1/1929,24.115
2/1/1929,24.012
3/1/1929,26.894
4/1/1929,27.708
5/1/1929,29.729
6/1/1929,27.715
7/1/1929,26.975
8/1/1929,26.678
9/1/1929,27.238
10/1/1929,27.812
11/1/1929,28.247
12/1/1929,25.491
1/1/1930,24.199
2/1/1930,23.346
3/1/1930,25.679
4/1/1930,27.24
5/1/1930,29.224
6/1/1930,28.095
7/1/1930,26.702
8/1/1930,26.421
9/1/1930,26.958
10/1/1930,28.542
11/1/1930,26.792
12/1/1930,26.094
1/1/1931,25.255
2/1/1931,24.407
3/1/1931,25.12
4/1/1931,28.304
5/1/1931,29.595
6/1/1931,29.425
7/1/1931,27.05
8/1/1931,26.991
9/1/1931,27.033
10/1/1931,27.039
11/1/1931,27.492
12/1/1931,25.563
1/1/1932,24.862
2/1/1932,23.671
3/1/1932,25.747
4/1/1932,27.19
5/1/1932,29.061
6/1/1932,28.44
7/1/1932,26.928
8/1/1932,27.243
9/1/1932,27.309
10/1/1932,28.588
11/1/1932,27.445
12/1/1932,25.48
1/1/1933,24.358
2/1/1933,23.996
3/1/1933,25.687
4/1/1933,27.445
5/1/1933,28.258
6/1/1933,27.938
7/1/1933,27.566
8/1/1933,26.575
9/1/1933,26.864
10/1/1933,27.724
11/1/1933,27.391
12/1/1933,25.142
1/1/1934,23.253
2/1/1934,24.144
3/1/1934,25.068
4/1/1934,27.758
5/1/1934,28.94
6/1/1934,28.001
7/1/1934,26.924
8/1/1934,26.339
9/1/1934,26.783
10/1/1934,28.071
11/1/1934,25.923
12/1/1934,25.35
1/1/1935,23.266
2/1/1935,23.66
3/1/1935,25.445
4/1/1935,26.334
5/1/1935,28.934
6/1/1935,28.612
7/1/1935,26.953
8/1/1935,26.663
9/1/1935,26.393
10/1/1935,28.223
11/1/1935,26.987
12/1/1935,25.67
1/1/1936,23.618
2/1/1936,23.722
3/1/1936,25.648
4/1/1936,27.116
5/1/1936,29.318
6/1/1936,27.444
7/1/1936,27.238
8/1/1936,26.981
9/1/1936,27.439
10/1/1936,28.164
11/1/1936,27.857
12/1/1936,25.286
1/1/1937,23.513
2/1/1937,24.049
3/1/1937,24.954
4/1/1937,26.744
5/1/1937,28.973
6/1/1937,28.38
7/1/1937,26.547
8/1/1937,26.961
9/1/1937,27.038
10/1/1937,27.632
11/1/1937,27.743
12/1/1937,24.595
1/1/1938,24.317
2/1/1938,23.328
3/1/1938,26.182
4/1/1938,27.966
5/1/1938,29.095
6/1/1938,27.025
7/1/1938,26.704
8/1/1938,26.925
9/1/1938,26.749
10/1/1938,26.644
11/1/1938,25.937
12/1/1938,25.497
1/1/1939,24.81
2/1/1939,24.434
3/1/1939,24.951
4/1/1939,26.818
5/1/1939,28.612
6/1/1939,28.583
7/1/1939,26.931
8/1/1939,26.848
9/1/1939,26.998
10/1/1939,28.177
11/1/1939,27.114
12/1/1939,25.315
1/1/1940,24.3
2/1/1940,24.531
3/1/1940,24.12
4/1/1940,26.795
5/1/1940,29.281
6/1/1940,28.447
7/1/1940,27.165
8/1/1940,26.627
9/1/1940,27.362
10/1/1940,28.182
11/1/1940,28.271
12/1/1940,25.274
1/1/1941,24.046
2/1/1941,25.013
3/1/1941,26.353
4/1/1941,28.335
5/1/1941,29.515
6/1/1941,29.374
7/1/1941,27.65
8/1/1941,27.817
9/1/1941,27.907
10/1/1941,29.198
11/1/1941,28.28
12/1/1941,26.486
1/1/1942,24.257
2/1/1942,24.869
3/1/1942,26.461
4/1/1942,28.419
5/1/1942,29.582
6/1/1942,28.685
7/1/1942,26.911
8/1/1942,26.699
9/1/1942,26.986
10/1/1942,28.28
11/1/1942,26.74
12/1/1942,25.225
1/1/1943,24.136
2/1/1943,24.31
3/1/1943,26.2
4/1/1943,27.325
5/1/1943,28.933
6/1/1943,27.772
7/1/1943,26.7
8/1/1943,26.732
9/1/1943,26.62
10/1/1943,27.668
11/1/1943,27.926
12/1/1943,25.506
1/1/1944,24.216
2/1/1944,23.238
3/1/1944,24.818
4/1/1944,26.839
5/1/1944,29.687
6/1/1944,29.234
7/1/1944,27.047
8/1/1944,26.94
9/1/1944,27.548
10/1/1944,28.122
11/1/1944,27.63
12/1/1944,26.205
1/1/1945,23.202
2/1/1945,23.891
3/1/1945,26.116
4/1/1945,26.889
5/1/1945,28.856
6/1/1945,28.547
7/1/1945,26.975
8/1/1945,27.093
9/1/1945,27.072
10/1/1945,27.762
11/1/1945,26.763
12/1/1945,24.075
1/1/1946,23.917
2/1/1946,24.945
3/1/1946,25.926
4/1/1946,27.858
5/1/1946,29.045
6/1/1946,27.824
7/1/1946,27.14
8/1/1946,26.403
9/1/1946,26.717
10/1/1946,28.593
11/1/1946,27.433
12/1/1946,26.367
1/1/1947,24.481
2/1/1947,24.508
3/1/1947,25.801
4/1/1947,27.122
5/1/1947,29.141
6/1/1947,29.465
7/1/1947,27.484
8/1/1947,27.419
9/1/1947,26.834
10/1/1947,26.653
11/1/1947,27.055
12/1/1947,25.486
1/1/1948,24.516
2/1/1948,24.232
3/1/1948,26.28
4/1/1948,28.167
5/1/1948,29.718
6/1/1948,28.879
7/1/1948,27.544
8/1/1948,27.052
9/1/1948,26.886
10/1/1948,28.057
11/1/1948,27.968
12/1/1948,25.1
1/1/1949,24.921
2/1/1949,24.147
3/1/1949,26.439
4/1/1949,27.883
5/1/1949,29.035
6/1/1949,28.151
7/1/1949,27.569
8/1/1949,27.256
9/1/1949,26.712
10/1/1949,27.917
11/1/1949,26.746
12/1/1949,24.887
1/1/1950,24.028
2/1/1950,22.553
3/1/1950,25.088
4/1/1950,27.288
5/1/1950,29.165
6/1/1950,28.983
7/1/1950,26.905
8/1/1950,27.244
9/1/1950,27.033
10/1/1950,27.344
11/1/1950,26.344
12/1/1950,24.464
1/1/1951,23.778
2/1/1951,23.911
3/1/1951,25.965
4/1/1951,26.818
5/1/1951,28.871
6/1/1951,28.413
7/1/1951,27.348
8/1/1951,27.085
9/1/1951,28.196
10/1/1951,28.713
11/1/1951,28.447
12/1/1951,25.411
1/1/1952,24.666
2/1/1952,24.79
3/1/1952,25.253
4/1/1952,27.844
5/1/1952,29.673
6/1/1952,28.375
7/1/1952,27.386
8/1/1952,26.946
9/1/1952,27.207
10/1/1952,28.067
11/1/1952,25.918
12/1/1952,26.263
1/1/1953,24.089
2/1/1953,25.202
3/1/1953,27.281
4/1/1953,27.725
5/1/1953,29.045
6/1/1953,28.558
7/1/1953,27.09
8/1/1953,26.775
9/1/1953,27.158
10/1/1953,28.312
11/1/1953,27.217
12/1/1953,25.637
1/1/1954,24.107
2/1/1954,25.186
3/1/1954,26.686
4/1/1954,27.715
5/1/1954,29.327
6/1/1954,28.285
7/1/1954,26.686
8/1/1954,26.88
9/1/1954,26.339
10/1/1954,27.187
11/1/1954,26.707
12/1/1954,25.482
1/1/1955,25.011
2/1/1955,24.645
3/1/1955,26.288
4/1/1955,27.127
5/1/1955,29.06
6/1/1955,28.137
7/1/1955,27.38
8/1/1955,26.335
9/1/1955,27.298
10/1/1955,27.753
11/1/1955,26.107
12/1/1955,25.273
1/1/1956,24.227
2/1/1956,23.936
3/1/1956,26.583
4/1/1956,28.102
5/1/1956,28.354
6/1/1956,27.79
7/1/1956,26.201
8/1/1956,26.337
9/1/1956,26.597
10/1/1956,27.538
11/1/1956,27.353
12/1/1956,25.293
1/1/1957,24.493
2/1/1957,23.214
3/1/1957,24.292
4/1/1957,27.258
5/1/1957,28.83
6/1/1957,29.128
7/1/1957,27.25
8/1/1957,26.73
9/1/1957,27.238
10/1/1957,28.545
11/1/1957,28.25
12/1/1957,26.56
1/1/1958,25.326
2/1/1958,24.172
3/1/1958,26.236
4/1/1958,27.869
5/1/1958,29.515
6/1/1958,29.087
7/1/1958,27.326
8/1/1958,26.822
9/1/1958,27.081
10/1/1958,28.025
11/1/1958,28.293
12/1/1958,26.492
1/1/1959,24.7
2/1/1959,24.263
3/1/1959,26.289
4/1/1959,28.244
5/1/1959,30.122
6/1/1959,28.612
7/1/1959,26.72
8/1/1959,26.718
9/1/1959,26.971
10/1/1959,27.366
11/1/1959,27.747
12/1/1959,26.72
1/1/1960,24.553
2/1/1960,25.735
3/1/1960,25.61
4/1/1960,27.658
5/1/1960,29.463
6/1/1960,28.118
7/1/1960,27.518
8/1/1960,26.658
9/1/1960,27.152
10/1/1960,27.721
11/1/1960,27.688
12/1/1960,26.447
1/1/1961,25.002
2/1/1961,23.2
